Country,Code,Year,Unemployment_Rate,Deaths,Population,DeathsPer10000
Uruguay,URY,2002,16.64999962,182,3428412,0.530858018
Uruguay,URY,2003,16.65999985,153,3428412,0.446270752
Uruguay,URY,2004,12.97999954,149,3428412,0.434603542
Uruguay,URY,2005,12.01000023,155,3428412,0.452104356
Uruguay,URY,2006,10.84000015,167,3428412,0.487105984
Uruguay,URY,2007,9.399999619,166,3428412,0.484189181
Uruguay,URY,2008,8.029999733,172,3428412,0.501689995
Uruguay,URY,2009,7.739999771,186,3428412,0.542525227
Uruguay,URY,2010,7.159999847,188,3428412,0.548358832
Uruguay,URY,2011,6.309999943,200,3428412,0.58336046
Uruguay,URY,2012,6.449999809,230,3428412,0.670864529
Uruguay,URY,2013,6.440000057,231,3428412,0.673781331
Uruguay,URY,2014,6.550000191,236,3428412,0.688365342
Uruguay,URY,2015,7.489999771,253,3428412,0.737950981
Uruguay,URY,2016,7.840000153,249,3428412,0.726283772
Uruguay,URY,2017,7.889999866,226,3428412,0.659197319
Uruguay,URY,2018,8.340000153,218,3428412,0.635862901
Uruguay,URY,2019,8.880000114,212,3428412,0.618362087
Venezuela,VEN,1992,7.690000057,3572,28971686,1.232927901
Venezuela,VEN,1993,6.599999905,4137,28971686,1.427945892
Venezuela,VEN,1994,8.56000042,4762,28971686,1.643673758
Venezuela,VEN,1995,10.23999977,4708,28971686,1.62503487
Venezuela,VEN,1996,11.77000046,4589,28971686,1.583960285
Venezuela,VEN,1997,11.15999985,4319,28971686,1.490765846
Venezuela,VEN,1998,11.14999962,4808,28971686,1.659551329
Venezuela,VEN,1999,14.52999973,5991,28971686,2.067881034
Venezuela,VEN,2000,13.98999977,7857,28971686,2.711958151
Venezuela,VEN,2001,13.03999996,8659,28971686,2.988780149
Venezuela,VEN,2002,16.17000008,9063,28971686,3.128226642
Venezuela,VEN,2003,16.78000069,10090,28971686,3.482710671
Venezuela,VEN,2004,15.06999969,9499,28971686,3.278718401
Venezuela,VEN,2005,10.65999985,9283,28971686,3.204162851
Venezuela,VEN,2006,8.609999657,9923,28971686,3.425068186
Venezuela,VEN,2007,7.28000021,10728,28971686,3.702925677
Venezuela,VEN,2008,6.25,11381,28971686,3.928318152
Venezuela,VEN,2009,6.099999905,12068,28971686,4.165446222
Venezuela,VEN,2010,7.110000134,12213,28971686,4.215495087
Venezuela,VEN,2011,6.900000095,12501,28971686,4.314902488
Venezuela,VEN,2012,6.599999905,13549,28971686,4.676634974
